Number,Movie,Genre,Date,UserScore,MetaScore,CertRating,Director
458.,To Be and to Have,"Family,                                                                                                    Documentary ","September 19, 2003",7.7,87,,Nicolas Philibert
459.,A Night of Knowing Nothing,Documentary ,"February 11, 2022",7.6,87,Not Rated,Payal Kapadia
460.,Halloween,"Thriller,                                                                                                    Horror ","October 25, 1978",8.6,87,R,John Carpenter
461.,Eraserhead,Horror ,"February 3, 1978",7.6,87,Not Rated,David Lynch
462.,The Velvet Underground,"Music,                                                                                                    Documentary ","October 15, 2021",7.6,87,R,Todd Haynes
463.,Medium Cool,Drama ,"August 27, 1969",,87,R,Haskell Wexler
464.,Attica,Documentary ,"October 29, 2021",6.5,87,Not Rated,Stanley Nelson
465.,Can You Bring It: Bill T. Jones and D-Man in the Waters,Documentary ,"July 16, 2021",,87,Not Rated,Rosalynde LeBlanc
466.,Alcarràs,Drama ,TBA,,87,Not Rated,Carla Simón
467.,Fire at Sea,Documentary ,"October 21, 2016",7.0,87,Not Rated,Gianfranco Rosi
468.,The Fugitive,"Action,                                                                                                    Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Crime ","August 6, 1993",8.7,87,PG-13,Andrew Davis
469.,F for Fake,Documentary ,"September 27, 1975",7.2,87,PG,François Reichenbach
470.,About Elly (2009),"Drama,                                                                                                    Mystery ","April 8, 2015",8.3,87,Not Rated,Asghar Farhadi
471.,The Bridge on the River Kwai,"Adventure,                                                                                                    Drama,                                                                                                    War ","December 14, 1957",8.4,87,TV-PG,David Lean
472.,Goldfinger,"Action,                                                                                                    Adventure,                                                                                                    Thriller ","January 9, 1965",8.3,87,GP,Guy Hamilton
473.,Ma Rainey's Black Bottom,"Drama,                                                                                                    Music ","November 25, 2020",6.7,87,R,George C. Wolfe
474.,One False Move,"Drama,                                                                                                    Crime ","May 8, 1992",7.6,87,R,Carl Franklin
475.,En el Séptimo Día (On the Seventh Day),Drama ,"June 8, 2018",7.5,87,Not Rated,Jim McKay
476.,Jane,"Biography,                                                                                                    Documentary ","October 20, 2017",8.3,87,PG,Brett Morgen
477.,Jaws,"Adventure,                                                                                                    Thriller,                                                                                                    Horror ","June 20, 1975",8.6,87,PG,Steven Spielberg
478.,We Are the Best!,Drama ,"May 30, 2014",7.5,87,Not Rated,Lukas Moodysson
479.,Spartacus,"Adventure,                                                                                                    Biography,                                                                                                    Drama,                                                                                                    History,                                                                                                    War ","October 19, 1960",8.4,87,Approved,Stanley Kubrick
480.,Small Axe: Education,Drama ,"December 18, 2020",6.9,87,,Steve McQueen
481.,About Endlessness,"Drama,                                                                                                    Fantasy ","April 30, 2021",6.2,87,Not Rated,Roy Andersson
482.,Back to the Future,"Adventure,                                                                                                    Sci-Fi,                                                                                                    Comedy ","July 3, 1985",8.9,87,PG,Robert Zemeckis
483.,Hope,"Drama,                                                                                                    Romance ","April 16, 2021",6.9,87,Not Rated,Maria Sødahl
484.,If Beale Street Could Talk,"Drama,                                                                                                    Romance,                                                                                                    Crime ","December 14, 2018",7.1,87,R,Barry Jenkins
485.,My Journey Through French Cinema,Documentary ,"June 23, 2017",,87,Not Rated,Bertrand Tavernier
486.,Wallace & Gromit: The Curse of the Were-Rabbit,"Adventure,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family ","October 5, 2005",8.2,87,G,Nick Park
487.,The Diary of a Teenage Girl,"Drama,                                                                                                    Romance ","August 7, 2015",6.5,87,R,Marielle Heller
488.,Elena,Drama ,"May 18, 2012",7.5,87,Not Rated,Andrei Zvyagintsev
489.,All Is Lost,"Action,                                                                                                    Adventure,                                                                                                    Drama ","October 18, 2013",6.6,87,PG-13,J.C. Chandor
490.,Hereditary,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Horror ","June 8, 2018",6.7,87,R,Ari Aster
491.,Return to Seoul,Drama ,"December 2, 2022",,87,Not Rated,Davy Chou
492.,Listen to Me Marlon,"Biography,                                                                                                    Documentary ","July 29, 2015",8.4,87,Not Rated,Stevan Riley
493.,Gideon's Army,Documentary ,"June 28, 2013",8.5,87,Not Rated,Dawn Porter
494.,Odd Man Out,"Drama,                                                                                                    Thriller,                                                                                                    Crime ","April 23, 1947",,87,Approved,Carol Reed
495.,Maria Full of Grace,"Drama,                                                                                                    Thriller,                                                                                                    Crime ","July 16, 2004",,87,R,Joshua Marston
496.,Fateless,Drama ,"January 6, 2006",7.6,87,R,Lajos Koltai
497.,Happy as Lazzaro,Drama ,"November 30, 2018",7.9,87,Not Rated,Alice Rohrwacher
498.,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,"War,                                                                                                    Documentary ","December 19, 2003",7.5,87,PG-13,Errol Morris
499.,Uncle Boonmee Who Can Recall His Past Lives,"Fantasy,                                                                                                    Comedy ","March 4, 2011",7.1,87,Not Rated,Apichatpong Weerasethakul
500.,Brokeback Mountain,"Drama,                                                                                                    Romance,                                                                                                    Western ","December 9, 2005",8.2,87,R,Ang Lee
